firearms in civilian possession,Registered firearms,Unregistered firearms,Gun Death Rate,Suicide Rate by Firearm,Unintentional Deaths by Firearms, Police Killing (per 10M),The regulation of guns
4396000.0,800000.0,3596000.0,3.43,0.75,0.96,0.0,0.0
5351000.0,3000000.0,2351000.0,10.22,0.39,0.64,152.5,1.0
1255000.0,0.0,0.0,9.79,0.48,5.22,0.0,1.0
6000.0,1556.0,4444.0,0.0,0.0,0.0,0.0,0.0
246000.0,45915.0,200085.0,21.22,0.35,0.8,40.4,0.0
40000.0,5500.0,34500.0,0.0,0.0,0.0,1.3,0.0
34000.0,0.0,0.0,0.07,0.48,0.03,0.0,1.0
3000.0,0.0,0.0,0.06,1.12,0.03,0.0,0.0
590000.0,345733.0,244267.0,0.56,0.44,0.04,12.54,1.0
17510000.0,8080295.0,9429705.0,0.06,0.06,0.05,2.9,1.0
106000.0,0.0,0.0,0.6,0.3,0.11,36.6,0.0
1547000.0,0.0,0.0,6.57,1.02,3.2,45.1,0.0
2280000.0,1236128.0,1043872.0,0.18,0.36,0.04,0.0,1.0
9000.0,0.0,0.0,1.05,1.05,0.1,0.0,0.0
242000.0,46982.0,195018.0,0.35,0.84,0.11,0.0,0.0
3464000.0,2683542.0,780458.0,3.28,0.6,0.58,0.0,0.0
3256000.0,1562332.0,1693668.0,10.06,0.6,2.56,472.7,1.0
795000.0,333426.0,461574.0,0.02,0.04,0.02,0.2,1.0
5890000.0,0.0,0.0,1.51,0.08,0.08,0.0,0.0
342000.0,200000.0,142000.0,0.56,0.26,0.29,0.0,0.0
557000.0,290000.0,267000.0,3.75,0.39,0.74,43.5,1.0
2768000.0,6724.0,2761276.0,0.0,0.0,0.0,0.0,1.0
137000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
355000.0,280000.0,75000.0,0.28,0.06,0.01,0.0,0.0
5000.0,0.0,0.0,0.4,0.11,0.19,0.0,0.0
23000.0,0.0,0.0,2.47,0.12,0.12,0.0,1.0
186000.0,45822.0,140178.0,0.42,0.81,0.09,0.0,1.0
581000.0,130000.0,451000.0,1.3,0.16,0.08,0.0,1.0
31000.0,0.0,0.0,5.3,2.03,1.11,63.8,0.0
305000.0,187000.0,118000.0,0.84,0.44,0.67,0.0,1.0
5000.0,1449.0,3551.0,0.59,0.23,0.12,0.0,0.0
300.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
71101000.0,9700000.0,61401000.0,0.3,0.61,0.08,0.0,1.0
323000.0,142260.0,180740.0,0.21,1.01,0.05,16.9,1.0
65000.0,47000.0,18000.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
105000.0,0.0,0.0,0.6,0.4,0.69,0.0,1.0
1690000.0,0.0,0.0,0.62,0.52,0.62,0.0,0.0
64000.0,10000.0,54000.0,0.35,0.13,0.05,0.0,1.0
3000.0,0.0,0.0,0.15,0.1,0.04,0.0,0.0
